# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170731
# ----------------------------------------

Year,Country ISO Code,Page,Page Title,New Users,Unique Pageviews,Pageviews
2017,FR,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,136,224,332
2016,MY,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,133,187,234
2016,ZA,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,132,279,367
2017,KE,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,132,218,297
2017,SA,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,132,188,246
2015,CA,/how-writers-write-fiction-2015/home,Isobel's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,131,188,456
2017,ET,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,131,218,278
2017,LY,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,128,150,172
2017,KH,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,122,127,140
2016,GB,/,Home page,121,121,121
2016,PH,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,120,206,276
2017,MX,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,120,251,333
2017,MM,/poetry-and-plays-2017/,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,118,187,254
2017,SR,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,118,142,157
2016,SG,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,117,188,223
2017,BR,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,117,212,297
2017,MY,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,117,226,334
2015,BR,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,115,243,300
2017,MZ,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,115,136,204
2017,KE,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,112,183,274
2016,NG,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,111,201,278
2015,CA,/how-writers-write-fiction-2015/oe/,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,108,"4,041","9,759"
2016,EG,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,106,147,181
2017,CM,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,106,128,176
2017,GH,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,105,145,201
2017,JO,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,105,180,246
2017,NL,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,103,148,221
2017,EG,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,102,173,256
2017,CA,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,101,111,132
2017,GB,/poetry-and-plays-2017/,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,100,180,190
2017,ID,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,100,165,263
2017,IN,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,100,121,148
2015,CH,/how-writers-write-fiction-2015/home,Christina's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,97,105,122
2017,BD,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,97,135,218
2017,IN,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,96,704,"1,072"
2017,ZA,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,96,219,314
2016,BR,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,94,127,170
2017,LR,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,94,110,145
2017,MV,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,92,112,126
2017,GN,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,91,103,111
2016,CA,/how-writers-write-fiction-2016/lecture_pages/845715,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,90,"1,041","1,374"
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,87,"3,192","6,158"
2017,JO,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,87,130,177
2017,CA,/poetry-and-plays-2017/,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,86,153,191
2017,ES,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,86,172,263
2017,GR,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,86,193,267
2017,IN,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,85,511,949
2016,NP,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,81,102,128
2017,AE,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,80,115,172
2017,LA,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,80,94,102
2017,DE,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,79,158,228
2017,VE,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,79,102,130
2015,AU,/how-writers-write-fiction-2015/oe/,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,77,"1,873","4,115"
2017,AE,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,77,137,203
2017,GM,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,77,91,116
2017,IE,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,77,182,264
2016,NZ,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",76,102,125
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,76,"2,482","4,243"
2017,AU,/poetry-and-plays-2017/,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,76,132,150
2017,IN,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,76,"1,126","2,125"
2015,CA,/how-writers-write-fiction-2015/?referral_token=NL111015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,75,87,131
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,75,549,815
2016,PK,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",74,97,107
2015,NZ,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,72,224,278
2017,IT,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,72,191,314
2017,SG,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,72,181,226
2017,UG,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,71,108,166
2015,FR,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,69,157,197
2017,MU,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,69,132,217
2017,MU,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,69,122,151
2015,CA,/how-writers-write-fiction-2015/home,Rob's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,67,97,130
2016,BR,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",67,82,96
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,67,499,771
2017,SE,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,67,106,138
2016,FR,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,66,95,125
2017,NZ,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,66,267,359
2017,UG,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,66,113,165
2015,DE,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,65,192,243
2015,IN,/how-writers-write-fiction-2015/home,VIVEK KUMAR's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,65,72,85
2016,PH,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",65,81,89
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,65,941,"1,362"
2017,TR,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,65,91,138
2017,CH,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,64,138,178
2017,IN,/poetry-and-plays-2017/,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,64,110,136
2017,LB,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,64,110,141
2017,AF,/poetry-and-plays-2017/,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,62,95,152
2017,GB,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,62,79,91
2017,GH,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,62,112,155
2017,MY,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,62,117,158
2016,GR,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,61,141,187
2017,CN,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,61,81,97
2017,GR,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,61,207,251
2015,GB,/how-writers-write-fiction-2015/?referral_token=NL111015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,60,72,106
2017,FR,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,60,107,143
2017,HK,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,60,82,146
2016,CH,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,59,107,152
2017,GY,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,59,82,125
2017,PH,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,59,299,484
2015,IN,/how-writers-write-fiction-2015/?referral_token=NL111015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,57,64,84
2016,DE,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,57,84,99
2016,IL,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,57,132,180
2016,NO,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,57,82,99
2017,XK,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,57,72,82
2016,DE,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",56,81,94
2017,TT,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,56,81,127
2015,AU,/how-writers-write-fiction-2015/lecture_pages/833989,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,55,138,166
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,55,"2,845","5,859"
2017,IE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,55,491,"1,011"
2017,IE,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,55,253,516
2017,NG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,55,"1,209","2,349"
2017,PS,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,55,71,95
2016,ZA,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,54,76,91
2015,BR,/how-writers-write-fiction-2015/?referral_token=NL111015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,52,59,80
2016,KE,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,52,85,116
2017,MA,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,52,97,141
2016,ID,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,51,72,92
2017,MX,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,51,123,146
2017,NL,/poetry-and-plays-2017,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,51,118,142
2015,BR,/how-writers-write-fiction-2015/home,Renata's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,50,90,199
2016,AE,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,50,81,110
2016,AU,/how-writers-write-fiction-2016/lecture_pages/845715,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,50,913,"1,267"
2016,ZA,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",50,70,81
2016,ZZ,/how-writers-write-fiction-2016,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,50,57,67
2017,AU,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,50,62,66
2017,DZ,/poetry-and-plays-2017#.WVTuqoQF7u0.facebook,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,50,54,61
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,50,567,835
2017,TN,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,50,61,96
2015,GB,/how-writers-write-fiction-2015/home,Susan's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,49,87,117
2015,GB,/how-writers-write-fiction-2015/oe/,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,49,"3,363","7,344"
2015,PH,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,49,65,71
2015,PK,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,49,82,100
2015,RU,/how-writers-write-fiction-2015,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,49,96,107
2016,IE,/whitman-2016/,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",49,59,75
2017,IL,/fiction-and-nonfiction-2017,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,49,115,176
2016,DK,/users/sign_in,How Writers Write Fiction 2015 - Sign In | NovoEd,47,87,158
