# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Unique Pageviews
2015,Turkey,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"2,048"
2016,Mexico,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"2,020"
2017,Australia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"2,013"
2015,Netherlands,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,989"
2017,Hong Kong,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,987"
2015,Singapore,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,958"
2015,Mexico,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,957"
2015,Philippines,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,951"
2016,Morocco,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,938"
2017,Australia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,900"
2017,Lebanon,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,889"
2016,New Zealand,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,865"
2015,Greece,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,863"
2015,Malaysia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,848"
2017,Canada,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,848"
2017,Russia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,836"
2017,Switzerland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,794"
2016,Australia,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,789"
2016,Sweden,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,777"
2016,Canada,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,748"
2017,South Korea,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,748"
2016,Nigeria,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,711"
2017,Poland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,710"
2015,Egypt,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,677"
2017,Egypt,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,677"
2017,Pakistan,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"1,665"
2016,India,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"1,656"
2017,Ghana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,654"
2015,Italy,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,646"
2017,Italy,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,646"
2017,Portugal,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,634"
2017,Kuwait,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,628"
2016,New Zealand,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,626"
2015,Spain,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,588"
2015,Argentina,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,516"
2017,Austria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,513"
2016,Switzerland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,512"
2015,Pakistan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,499"
2016,Turkey,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,484"
2016,India,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,480"
2016,Italy,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,461"
2016,Egypt,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,454"
2016,New Zealand,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"1,444"
2017,Nigeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"1,436"
2015,Poland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,389"
2017,Nepal,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,384"
2016,Netherlands,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,374"
2017,Guyana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,345"
2016,Philippines,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,284"
2015,Australia,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,277"
2015,New Zealand,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,270"
2016,Canada,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,253"
2017,Saudi Arabia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,234"
2015,Thailand,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,230"
2017,Sweden,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,200"
2017,Finland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,187"
2017,Philippines,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"1,187"
2016,Japan,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,183"
2017,Philippines,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,183"
2017,Egypt,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"1,151"
2017,Uganda,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,120"
2015,Austria,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,094"
2016,Australia,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,084"
2017,Morocco,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,079"
2015,Norway,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,073"
2015,Japan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,062"
2015,Switzerland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,049"
2015,India,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,034"
2016,Israel,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,033"
2015,Ireland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,015"
2017,Bulgaria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,958
2017,Philippines,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,947
2017,Jordan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,927
2015,Canada,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",922
2015,Portugal,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,919
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,915
2016,Indonesia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,914
2015,Hong Kong,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,911
2016,Canada,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,907
2016,United Kingdom,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,903
2017,Turkey,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,901
2017,Nigeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,895
2016,India,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,889
2017,Trinidad & Tobago,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,889
2017,Bangladesh,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,885
2016,United Kingdom,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,869
2017,New Zealand,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,856
2015,Nepal,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,849
2016,Finland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,841
2016,Thailand,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,833
2017,South Africa,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,828
2017,Brazil,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,825
2015,Germany,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,814
2016,Jordan,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,793
2015,Canada,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",788
2015,Israel,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,784
2017,Botswana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,784
2016,Morocco,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,775
2016,Turkey,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,768
2016,Israel,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",761
2016,South Africa,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",756
2016,Russia,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,755
2016,China,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,749
2016,Russia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,749
2016,Malaysia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,748
2017,Ireland,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,739
2016,Romania,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,733
2015,France,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,729
2017,Canada,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,728
2017,Nigeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,728
2016,France,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",726
2016,Jordan,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",725
2017,Myanmar (Burma),Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,714
2017,New Zealand,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,703
2016,Jordan,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",700
2016,United Arab Emirates,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,698
2016,Argentina,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,697
2016,South Africa,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",697
2017,Pakistan,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,693
2016,Germany,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",686
2016,Italy,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",672
2016,France,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",671
2016,Austria,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,665
2017,Colombia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,665
2016,Pakistan,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",658
2017,Pakistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,655
2017,Afghanistan,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,650
2017,Czechia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,643
2015,Romania,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,625
2016,Hong Kong,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,622
2015,United Kingdom,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",614
2017,Algeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,612
2015,Kenya,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,609
2016,Canada,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,605
2017,Australia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,604
2015,Canada,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",591
2015,United Kingdom,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",586
2017,Myanmar (Burma),Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,586
2017,Algeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,585
2017,Jamaica,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,580
2016,Peru,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,579
2017,Qatar,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,576
2015,United Arab Emirates,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,571
2017,Australia,NovoEd,571
2017,Sudan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,558
2016,Nepal,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,555
2015,Canada,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",554
2016,Antigua & Barbuda,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,554
2017,Ukraine,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,551
2015,South Korea,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,545
2016,Trinidad & Tobago,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,541
2017,Argentina,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,541
2015,Russia,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,535
2017,Iraq,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,529
2015,Jordan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,528
2017,Canada,NovoEd,527
2017,Sri Lanka,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,525
2017,Japan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,519
2015,Canada,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",515
2016,Ireland,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",512
2015,Finland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,510
2015,Indonesia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,508
2017,Myanmar (Burma),Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,504
2016,Nigeria,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",503
2015,Iran,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,501
2016,Greece,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",501
2017,Libya,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,497
2017,Greece,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,491
2015,Ecuador,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,485
2016,Estonia,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",485
2016,Germany,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",484
2017,Singapore,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,482
2015,Sweden,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,477
2015,Venezuela,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,477
2017,United Kingdom,NovoEd,475
2016,Spain,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,472
2015,Qatar,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,470
2016,Singapore,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",464
2017,South Africa,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,463
2015,United Kingdom,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",462
2017,Norway,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,462
2016,Philippines,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",460
2015,Canada,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",458
2015,Dominican Republic,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,458
2017,Ethiopia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,457
2017,Taiwan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,456
2015,Belgium,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,453
2015,Colombia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,453
2015,Taiwan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,452
2016,Bangladesh,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,452
2017,Cameroon,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,446
2016,Australia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,441
2016,Canada,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",441
2015,Denmark,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,439
2016,Brazil,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",434
2017,China,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,434
2016,Portugal,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,433
2015,South Africa,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,431
2015,Trinidad & Tobago,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,430
2016,Philippines,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,430
2015,Brazil,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,428
2017,Peru,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,427
2016,Ukraine,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,426
2016,Kenya,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,423
2015,Poland,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,420
2016,Belgium,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,419
2016,Lebanon,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,418
2015,Canada,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,412
2015,Poland,Kaja's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,412
2016,Philippines,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,412
2016,Estonia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",411
2016,Jamaica,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,411
2016,Norway,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,411
2015,Canada,How Writers Write Fiction 2015 - Sign In | NovoEd,394
2017,United Kingdom,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,394
2015,Kazakhstan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,392
2016,Chile,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",392
2016,Bahrain,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",387
2015,Saudi Arabia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,386
2015,Barbados,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,382
