# ----------------------------------------,,,,,
# All Web Site Data,,,,,
# Export Metrics (Filter U.S.A.),,,,,
# 20150101-20170730,,,,,
# ----------------------------------------,,,,,
,,,,,
Year,Country ISO Code,Page,New Users,Unique Pageviews,Pageviews
2017,GY,/fiction-and-nonfiction-2017,60,85,128
2017,HK,/fiction-and-nonfiction-2017,60,82,145
2015,IN,/how-writers-write-fiction-2015/?referral_token=NL111015,58,65,85
2016,CH,/how-writers-write-fiction-2016,58,107,152
2016,IL,/how-writers-write-fiction-2016,58,133,180
2016,NO,/how-writers-write-fiction-2016,58,83,99
2016,NZ,/how-writers-write-fiction-2016/home,58,751,"1,118"
2017,PH,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,58,301,486
2016,DE,/how-writers-write-fiction-2015,57,85,101
2017,TT,/fiction-and-nonfiction-2017,57,82,129
2017,XK,/poetry-and-plays-2017,57,72,82
2015,AU,/how-writers-write-fiction-2015/lecture_pages/833989,55,142,176
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,55,"2,846","5,852"
2017,IE,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,55,493,"1,012"
2017,IE,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,55,249,505
2017,NG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,55,"1,208","2,348"
2017,PS,/poetry-and-plays-2017,55,71,94
2015,NL,/how-writers-write-fiction-2015/home,53,337,467
2016,IN,/how-writers-write-fiction-2016/home,53,936,"1,357"
2016,ZA,/how-writers-write-fiction-2015,53,76,91
2015,BR,/how-writers-write-fiction-2015/?referral_token=NL111015,52,58,80
2016,KE,/how-writers-write-fiction-2016,52,85,116
2017,MA,/fiction-and-nonfiction-2017,52,97,140
2016,AU,/how-writers-write-fiction-2016/lecture_pages/845715,51,916,"1,269"
2016,ID,/how-writers-write-fiction-2016,51,72,92
2016,ZA,/whitman-2016/,51,71,82
2017,MX,/poetry-and-plays-2017,51,123,145
2017,NL,/poetry-and-plays-2017,51,118,142
2016,AE,/how-writers-write-fiction-2016,50,81,109
2016,ES,/whitman-2016/,50,60,75
2016,IE,/whitman-2016/,50,61,77
2016,ZZ,/how-writers-write-fiction-2016,50,57,67
2017,AU,/how-writers-write-fiction-2015,50,62,66
2017,DZ,/poetry-and-plays-2017#.WVTuqoQF7u0.facebook,50,53,61
2017,GB,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,50,565,833
2017,TN,/fiction-and-nonfiction-2017,50,61,96
2015,GB,/how-writers-write-fiction-2015/oe/,48,"3,355","7,324"
2015,PH,/how-writers-write-fiction-2015,48,66,72
2015,PK,/how-writers-write-fiction-2015,48,82,99
2015,QA,/how-writers-write-fiction-2015/home,48,116,164
2015,RU,/how-writers-write-fiction-2015,48,96,107
2017,IL,/fiction-and-nonfiction-2017,48,116,176
2016,DK,/users/sign_in,47,88,159
2016,DZ,/how-writers-write-fiction-2016,47,56,61
2016,PT,/how-writers-write-fiction-2016,47,73,94
2016,TR,/how-writers-write-fiction-2016,47,107,137
2017,NG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,47,316,549
2015,IT,/how-writers-write-fiction-2015,46,178,199
2015,NG,/how-writers-write-fiction-2015/home,46,437,654
2016,CA,/whitman-2016,46,167,234
2016,JP,/how-writers-write-fiction-2016,46,72,98
2016,NL,/how-writers-write-fiction-2016/home,46,159,210
2016,NZ,/flash-write-2016,46,88,109
2017,JM,/fiction-and-nonfiction-2017,46,72,97
2017,PT,/fiction-and-nonfiction-2017,46,75,117
2016,BD,/how-writers-write-fiction-2016,45,53,71
2016,IN,/flash-write-2016,45,78,107
2016,IT,/how-writers-write-fiction-2016,45,85,117
2015,MX,/how-writers-write-fiction-2015,43,61,68
2016,DE,/how-writers-write-fiction-2016/home,43,546,748
2017,IN,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/860430,43,523,768
2017,RO,/poetry-and-plays-2017,43,56,76
2017,TG,/poetry-and-plays-2017,43,52,66
2015,NG,/how-writers-write-fiction-2015,42,86,99
2015,ZA,/how-writers-write-fiction-2015,42,318,456
2017,PL,/fiction-and-nonfiction-2017,42,66,102
2015,ES,/how-writers-write-fiction-2015,41,72,85
2016,NL,/how-writers-write-fiction-2015,41,47,67
2016,NZ,/how-writers-write-fiction-2015,41,61,71
2016,ZZ,/,41,41,41
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,41,686,"1,031"
2015,AU,/how-writers-write-fiction-2015/?referral_token=NL111015,40,56,83
2015,FR,/how-writers-write-fiction-2015/home,40,615,872
2015,KE,/how-writers-write-fiction-2015,40,53,61
2015,ZZ,/?from=http://www.traffic2cash.xyz/,40,40,40
2017,IT,/poetry-and-plays-2017,40,81,118
2017,QA,/poetry-and-plays-2017,40,50,62
2015,CA,/how-writers-write-fiction-2015/lecture_pages/833678,39,643,895
2015,CL,/how-writers-write-fiction-2015/?referral_token=NL111015,39,42,57
2015,ES,/how-writers-write-fiction-2015/?referral_token=NL111015,39,39,58
2015,ES,/how-writers-write-fiction-2015/home,39,252,447
2015,HK,/how-writers-write-fiction-2015,39,56,63
2016,FI,/how-writers-write-fiction-2015,39,46,48
2016,ID,/how-writers-write-fiction-2015,39,48,57
2016,MX,/whitman-2016/,39,46,46
2016,TH,/how-writers-write-fiction-2016,39,57,77
2017,GE,/poetry-and-plays-2017,39,48,57
2017,IE,/poetry-and-plays-2017/,39,58,67
2017,IN,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,39,742,"1,061"
2017,LB,/fiction-and-nonfiction-2017,39,55,83
2017,LK,/fiction-and-nonfiction-2017,39,57,101
2017,TR,/poetry-and-plays-2017,39,68,91
2015,GB,/how-writers-write-fiction-2015?referral_token=NL092315,37,48,56
2015,IE,/how-writers-write-fiction-2015,37,55,68
2016,AR,/how-writers-write-fiction-2016,37,47,68
2016,FR,/whitman-2016/,37,55,63
2016,GB,/how-writers-write-fiction-2016/lecture_pages/845715,37,983,"1,302"
2016,NG,/whitman-2016/,37,60,62
2017,BE,/fiction-and-nonfiction-2017,37,46,70
2017,BO,/poetry-and-plays-2017,37,46,48
2017,ML,/poetry-and-plays-2017,37,40,45
2015,GB,/how-writers-write-fiction-2015/lecture_pages/833678,36,662,937
2015,NZ,/how-writers-write-fiction-2015/home,36,"1,316","2,034"
2016,CA,/whitman-2016/home/terms,36,91,109
2016,DE,/whitman-2016/home,36,173,245
2016,GB,/whitman-2016,36,94,113
2016,JO,/how-writers-write-fiction-2016,36,112,145
2017,AR,/fiction-and-nonfiction-2017,36,50,72
2017,BR,/fiction-and-nonfiction-2017/,36,42,53
2017,DZ,/fiction-and-nonfiction-2017,36,83,118
2017,GB,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,36,204,379
2017,IN,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856271,36,"1,256","1,978"
2017,UA,/fiction-and-nonfiction-2017,36,66,83
2015,SE,/how-writers-write-fiction-2015,35,157,189
2016,PH,/how-writers-write-fiction-2015,35,50,65
2017,AF,/fiction-and-nonfiction-2017,35,57,88
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856566,35,473,746
2017,OM,/poetry-and-plays-2017,35,45,55
2015,AU,/how-writers-write-fiction-2015/lecture_pages/833678,34,400,570
2015,EG,/how-writers-write-fiction-2015,34,112,160
2015,SG,/how-writers-write-fiction-2015,34,55,62
2016,EG,/how-writers-write-fiction-2015,34,56,87
2016,TH,/whitman-2016/home,34,46,97
2017,BG,/poetry-and-plays-2017,34,72,82
2017,BJ,/poetry-and-plays-2017,34,39,50
2017,JP,/fiction-and-nonfiction-2017,34,55,78
2017,MR,/poetry-and-plays-2017,34,42,53
2017,SA,/fiction-and-nonfiction-2017,34,58,71
2017,TW,/fiction-and-nonfiction-2017,34,52,71
2017,VN,/poetry-and-plays-2017,34,60,75
2017,ZZ,/fiction-and-nonfiction-2017,34,52,82
2015,PK,/how-writers-write-fiction-2015/home,32,288,406
2015,RU,/how-writers-write-fiction-2015/home,32,240,359
2016,AT,/how-writers-write-fiction-2016,32,57,80
2016,CA,/whitman-2016/home,32,447,688
2016,ES,/how-writers-write-fiction-2015,32,40,47
2016,FR,/how-writers-write-fiction-2016/home,32,645,930
2016,IN,/whitman-2016,32,67,76
2017,BW,/poetry-and-plays-2017,32,71,96
2017,ES,/poetry-and-plays-2017,32,83,121
2017,GB,/how-writers-write-fiction-2016,32,60,66
2017,NO,/fiction-and-nonfiction-2017,32,66,87
2017,TZ,/poetry-and-plays-2017,32,36,47
2017,UY,/poetry-and-plays-2017/,32,40,46
2015,CA,/how-writers-write-fiction-2015/home/terms,31,102,109
2015,DE,/how-writers-write-fiction-2015/?referral_token=NL111015,31,41,53
2015,ES,/how-writers-write-fiction-2015?referral_token=NL092315,31,40,42
2015,ID,/how-writers-write-fiction-2015,31,41,43
2015,IN,/how-writers-write-fiction-2015?referral_token=NL092315,31,35,35
2015,MX,/how-writers-write-fiction-2015/home,31,347,467
2015,MY,/how-writers-write-fiction-2015,31,43,50
2015,SE,/how-writers-write-fiction-2015/home,31,518,758
2015,TR,/how-writers-write-fiction-2015,31,185,215
2016,BR,/how-writers-write-fiction-2016/lecture_pages/845715,31,466,585
2016,IN,/how-writers-write-fiction-2016/lecture_pages/845715,31,593,738
2016,KE,/how-writers-write-fiction-2015,31,37,55
2016,KR,/how-writers-write-fiction-2016,31,75,89
2017,BG,/fiction-and-nonfiction-2017,31,52,67
2017,CG,/poetry-and-plays-2017,31,39,41
2017,MM,/fiction-and-nonfiction-2017,31,42,63
2017,PH,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,31,"1,631","3,118"
2017,RO,/fiction-and-nonfiction-2017,31,43,66
2017,TH,/fiction-and-nonfiction-2017,31,45,66
2017,VE,/fiction-and-nonfiction-2017,31,48,65
2017,ZM,/poetry-and-plays-2017,31,62,85
2015,GR,/how-writers-write-fiction-2015,30,43,52
2015,NL,/how-writers-write-fiction-2015,30,50,61
2016,CN,/how-writers-write-fiction-2016,30,45,56
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,30,559,825
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856271,30,799,"1,319"
2017,EC,/poetry-and-plays-2017,30,58,73
2017,TL,/poetry-and-plays-2017,30,40,47
2015,GB,/how-writers-write-fiction-2015/lecture_pages/834001,29,287,353
2015,MX,/how-writers-write-fiction-2015/?referral_token=NL111015,29,31,37
2016,CA,/how-writers-write-fiction-2016/lecture_pages/846795,29,676,917
2016,FI,/how-writers-write-fiction-2016,29,45,57
2016,GB,/whitman-2016/home,29,435,707
2016,MY,/whitman-2016/,29,31,37
2016,NG,/how-writers-write-fiction-2015,29,45,58
2016,NL,/whitman-2016/,29,34,37
2017,ET,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,29,341,792
2017,LS,/poetry-and-plays-2017,29,39,52
2017,MG,/poetry-and-plays-2017,29,37,40
2017,MZ,/poetry-and-plays-2017,29,40,52
2017,RU,/poetry-and-plays-2017,29,65,85
2017,SO,/fiction-and-nonfiction-2017,29,32,40
2017,ZA,/poetry-and-plays-2017/,29,50,56
2017,ZZ,/poetry-and-plays-2017,29,47,61
2015,ZA,/how-writers-write-fiction-2015/home,27,578,974
2016,BE,/how-writers-write-fiction-2016,27,46,62
2016,CA,/how-writers-write-fiction-2016/video_list_lecture_components/834249/lecture_videos/30144,27,333,380
2016,HK,/how-writers-write-fiction-2016,27,47,67
2016,IT,/whitman-2016/,27,55,66
2016,SG,/whitman-2016/,27,39,41
2017,BW,/fiction-and-nonfiction-2017,27,36,66
2017,NG,/poetry-and-plays-2017/,27,56,72
2017,NZ,/poetry-and-plays-2017/,27,63,77
2017,ZW,/poetry-and-plays-2017,27,40,55
2015,GB,/how-writers-write-fiction-2015/home/terms,26,108,117
2015,TR,/how-writers-write-fiction-2015/home,26,364,496
2015,ZZ,/,26,26,26
2016,AU,/whitman-2016,26,87,94
2016,CA,/flash-write-2016,26,55,91
2016,CA,/how-writers-write-fiction-2016/lecture_pages/847380,26,531,693
2016,ID,/whitman-2016/,26,32,39
2016,MX,/how-writers-write-fiction-2015,26,41,53
2016,PK,/how-writers-write-fiction-2015,26,37,46
2016,TR,/flash-write-2016,26,73,91
2017,BT,/fiction-and-nonfiction-2017,26,34,48
2017,DE,/how-writers-write-fiction-2015,26,29,34
2017,HK,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/submission-gallery,26,103,638
2017,NG,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,26,329,512
2017,NZ,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,26,185,292
2017,PH,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856471,26,263,411
2017,PH,/poetry-and-plays-2017/,26,32,36
2017,ZA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,26,152,252
2017,ZM,/fiction-and-nonfiction-2017,26,46,65
2015,IN,/how-writers-write-fiction-2015/oe/,25,"1,596","3,276"
2015,SG,/how-writers-write-fiction-2015/home,25,425,644
2015,TH,/how-writers-write-fiction-2015,25,47,50
2016,AU,/whitman-2016/home,25,594,881
2016,BD,/flash-write-2016,25,40,47
2016,CA,/how-writers-write-fiction-2015/home,25,173,220
2016,NZ,/whitman-2016,25,132,160
2016,QA,/how-writers-write-fiction-2016,25,37,52
2016,RU,/whitman-2016/home,25,66,86
2016,TR,/how-writers-write-fiction-2015,25,35,41
2017,AU,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856271,25,851,"1,350"
2017,CA,/how-writers-write-fiction-2016,25,43,47
2017,CD,/poetry-and-plays-2017,25,31,39
2017,DK,/fiction-and-nonfiction-2017,25,32,52
2017,SE,/poetry-and-plays-2017,25,66,83
2017,SN,/poetry-and-plays-2017,25,36,41
2017,ZA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,25,922,"2,144"
2017,ZW,/fiction-and-nonfiction-2017,25,40,75
2015,DE,/how-writers-write-fiction-2015/oe/,24,"1,029","2,248"
2015,GR,/how-writers-write-fiction-2015/home,24,328,478
2015,PL,/how-writers-write-fiction-2015,24,143,172
2016,CA,/how-writers-write-fiction-2016/oe/#!/submissions/39741?from_checklist=true,24,357,553
2016,GB,/whitman-2016/home/terms,24,57,65
2016,GR,/how-writers-write-fiction-2015,24,40,46
2016,PH,/how-writers-write-fiction-2016/home,24,148,200
2016,RO,/how-writers-write-fiction-2016,24,27,36
2017,AM,/poetry-and-plays-2017,24,37,48
2017,AU,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,24,191,328
2017,CA,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/858067,24,410,679
2017,ES,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,24,367,739
2017,FI,/fiction-and-nonfiction-2017,24,50,65
2017,KI,/poetry-and-plays-2017/,24,25,27
2017,KR,/fiction-and-nonfiction-2017,24,32,48
2017,KW,/poetry-and-plays-2017,24,67,81
2017,NG,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/lecture_pages/858469,24,175,292
2015,AU,/how-writers-write-fiction-2015/home/terms,22,92,103
2015,DK,/users/sign_in?class=how-writers-write-fiction-2015&http_referrer=https://novoed.com/courses,22,25,34
2015,SA,/how-writers-write-fiction-2015,22,24,26
2016,GB,/how-writers-write-fiction-2016/announcements/,22,625,705
2016,IE,/how-writers-write-fiction-2016/home,22,446,633
2016,JM,/how-writers-write-fiction-2016,22,40,43
2016,MX,/how-writers-write-fiction-2016/home,22,239,313
2016,MY,/flash-write-2016,22,51,57
2016,TW,/how-writers-write-fiction-2016,22,34,48
2017,AL,/poetry-and-plays-2017,22,37,45
2017,BR,/how-writers-write-fiction-2015,22,26,27
2017,ET,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/lecture_pages/856276,22,111,188
2017,FR,/https://app.novoed.com/#!/courses/fiction-and-nonfiction-2017/home,22,777,"1,479"
2017,MK,/poetry-and-plays-2017,22,30,34
2017,NL,/https://app.novoed.com/#!/courses/poetry-and-plays-2017/home,22,94,232
2017,PE,/fiction-and-nonfiction-2017,22,76,94
2015,AR,/how-writers-write-fiction-2015/home,21,350,570
2015,BR,/how-writers-write-fiction-2015?referral_token=NL092315,21,24,26
2015,GB,/how-writers-write-fiction-2015/lecture_pages/834570,21,616,808
2015,HK,/how-writers-write-fiction-2015/home,21,159,224
2015,IR,/how-writers-write-fiction-2015/oe/,21,134,282
2015,IT,/how-writers-write-fiction-2015/?referral_token=NL111015,21,22,32
2015,NZ,/how-writers-write-fiction-2015/oe/,21,"2,028","5,720"
2015,UA,/how-writers-write-fiction-2015,21,24,30
2016,BH,/whitman-2016/,21,127,164
2016,CL,/how-writers-write-fiction-2016,21,47,76
2016,ES,/how-writers-write-fiction-2016/home,21,272,401
2016,GR,/whitman-2016/,21,25,27
2016,IQ,/,21,21,21
2016,JM,/how-writers-write-fiction-2015,21,41,53
2016,LK,/how-writers-write-fiction-2016,21,27,35
