# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Pageviews
2017,Nepal,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"2,014"
2016,Switzerland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,988"
2016,Canada,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,930"
2016,Turkey,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,847"
2016,Netherlands,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,838"
2017,Philippines,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,824"
2015,Austria,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,764"
2017,Finland,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,743"
2016,Japan,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,708"
2017,Philippines,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"1,688"
2015,India,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,641"
2017,Sweden,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,638"
2016,Australia,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,635"
2017,Uganda,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,611"
2016,Philippines,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,594"
2015,Nepal,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,567"
2017,Morocco,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,567"
2015,Norway,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,561"
2016,Israel,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,507"
2015,Switzerland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,486"
2017,Jordan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,473"
2015,Ireland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,446"
2015,Japan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,441"
2017,Nigeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,412"
2017,Bulgaria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,395"
2017,Bangladesh,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,368"
2017,Ireland,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,367"
2017,Trinidad & Tobago,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,365"
2017,Turkey,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,343"
2016,United Kingdom,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,328"
2017,Philippines,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"1,307"
2015,Canada,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd","1,297"
2016,Romania,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,296"
2015,Poland,Kaja's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,289"
2017,Egypt,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"1,278"
2015,Germany,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,275"
2015,Hong Kong,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,271"
2016,Morocco,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"1,265"
2016,Russia,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"1,247"
2015,Portugal,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,234"
2017,New Zealand,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,206"
2017,United Kingdom,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"1,205"
2016,Thailand,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,190"
2017,New Zealand,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"1,155"
2015,France,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,148"
2016,Indonesia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,144"
2016,Finland,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,129"
2017,Myanmar (Burma),Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,125"
2017,Pakistan,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,"1,125"
2016,South Africa,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,116"
2017,Brazil,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"1,112"
2016,Jordan,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,"1,111"
2017,South Africa,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,"1,111"
2016,India,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,103"
2016,Canada,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,088"
2015,Israel,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,085"
2017,Botswana,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,"1,080"
2016,Israel,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,075"
2016,France,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd","1,066"
2015,Canada,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd","1,062"
2016,United Kingdom,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,"1,059"
2016,Turkey,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"1,036"
2017,Nigeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,"1,030"
2016,Canada,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,"1,012"
2017,Canada,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,998
2016,Malaysia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,991
2016,Italy,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",982
2016,Jordan,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",977
2016,China,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,966
2017,Myanmar (Burma),Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,959
2016,South Africa,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",957
2015,Dominican Republic,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,955
2017,Pakistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,953
2017,Greece,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,951
2015,Romania,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,949
2016,Argentina,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,942
2015,United Arab Emirates,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,935
2016,Jordan,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",923
2016,United Arab Emirates,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,911
2016,Russia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,902
2016,France,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",901
2017,Qatar,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,900
2016,Germany,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",881
2017,Colombia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,881
2016,Austria,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,865
2017,Ukraine,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,856
2017,Afghanistan,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,851
2015,United Kingdom,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",850
2015,Jordan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,828
2015,Iran,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,826
2015,Poland,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,826
2017,Algeria,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,822
2016,Hong Kong,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,820
2016,Pakistan,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",814
2016,Pakistan,Rabia's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,812
2015,Sweden,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,809
2016,Canada,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",805
2017,Australia,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,802
2016,Trinidad & Tobago,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,799
2017,Australia,NovoEd,795
2015,United Kingdom,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",793
2015,Canada,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",792
2015,Kenya,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,788
2017,Czechia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,788
2015,Canada,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",786
2017,Myanmar (Burma),Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,782
2015,Ecuador,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,769
2016,Lebanon,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,764
2015,Qatar,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,750
2015,Canada,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",748
2017,Jamaica,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,748
2017,Sri Lanka,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,748
2015,Indonesia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,744
2017,Sudan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,744
2016,Nepal,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,737
2017,Cameroon,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,730
2015,Russia,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,724
2016,Peru,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,724
2016,South Africa,Mary's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,724
2017,Algeria,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,724
2016,Bahrain,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",714
2017,Ethiopia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,714
2016,Estonia,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",711
2017,Japan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,711
2015,South Africa,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,710
2017,Argentina,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,710
2017,Libya,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,709
2017,Canada,NovoEd,705
2015,South Korea,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,704
2015,Brazil,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,701
2015,Canada,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,700
2017,Singapore,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,691
2015,Belgium,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,687
2017,South Africa,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,682
2017,Norway,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,681
2015,Finland,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,680
2016,Antigua & Barbuda,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,678
2016,Bangladesh,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,671
2015,Denmark,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,668
2017,Taiwan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,667
2015,Taiwan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,661
2016,Philippines,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,661
2016,Greece,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",658
2016,Estonia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",654
2015,Saudi Arabia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,652
2017,China,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,649
2015,Thailand,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,640
2016,Spain,#Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,640
2017,Peru,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,639
2016,Nigeria,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",630
2015,United Kingdom,"Class Session 3 Assignment: Working with Plot, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",623
2015,Singapore,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,623
2016,Germany,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",617
2016,Singapore,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",616
2016,Ireland,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",614
2017,United Kingdom,NovoEd,612
2015,New Zealand,Gerry's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,610
2017,Nepal,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,610
2015,Colombia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,608
2015,Canada,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",603
2015,Kazakhstan,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,599
2015,Venezuela,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,599
2016,Australia,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",598
2017,Iraq,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,598
2017,Uzbekistan,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,597
2016,Belgium,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,590
2015,Canada,Margaret's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,589
